"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4848484848485","51.3058419243986","49.2602996254682","52.136546184739","55.6026296566837","56.9757847533632","58.3124708624709","54.9057246003094","53.7517040358744","53.3548223350254","52.6743319838057","49.6272428884026","51.620026836632","55.0936770428016","51.8345420279829","54.2204840664361","57.9092747102543","60.511730109102","56.6208316991428","57.4467898753702","56.1965622017724","53.5449985374437","58.7834892967479","69.2036602359509","71.8270449566809","66.8944344576015","73.0407417036104","67.4196284097139","69.5869442457704","71.74178162623","78.0121433360789","76.5954264225768","74.6354680894964","75.1733986128111","107.988155610529","102.322604404998","94.4425288441474","85.5542225249397",
"Africa Eastern and Southern","AFE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","33.6466227422383","28.9989998377813","29.4888908704087","30.5789558127962","30.5915189201594","33.7721796544532","33.2048906521443","34.26924107996","35.7452890182315","34.8411629987484","36.2379094856882","34.5995015874368","34.2539236200556","35.3178652326464","34.9776102993691","35.159048596561","35.3894739108016","34.7806824630956","39.3950931077724","35.7622186902105","34.1963042256478","33.8368706274904","36.2804929658675","37.2159941218322","37.6291998204054","35.6674886070103","35.4795077413645","37.8756304262358","35.7795264123649","36.5482159276741","42.4926532173592","43.8543959883129","45.3061684159846","44.5183279872847","45.3094252499875","40.9048484952939","39.6065623123314","41.424308912584","42.6484222080598","43.3708393827353","45.2295692556693","47.0916826733048","49.436034291511","49.125832452317","50.1960176736277","49.9448936425829","48.9585095624769","47.7595116440319","45.4748829378968","45.5397736666967","47.348578092268","46.7419954388559","45.3649555545331","46.3985856030908","49.0257355589986","53.2266373043844","51.6048036118956","48.9280465828198","50.0665700987091",
"Afghanistan","AFG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3438645266527","23.833664421484","29.5122807993009","33.0609569578245","35.3505617153186","36.6242278045429","32.9136922701029","32.6820168994225","34.2095967895183","33.9280526549766","37.2228186582708","36.8612612972957","36.6074938854128","34.9592143142587","37.5081887366299","","","",
"Africa Western and Central","AFW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","11.2734177710966","11.4394085191347","11.7521689620995","11.7835886312416","12.887035814451","12.485592144903","12.6109379358215","13.0334856786326","14.0045335021399","14.3926454770828","12.7988835873388","12.9940160306215","13.5482803016149","14.1746722676842","15.2054377533925","18.0207711791123","20.2088143175556","22.4402092693486","21.4951550329103","21.8943301306992","25.0935803232491","12.884103540687","13.1729201102253","14.1867557871571","15.3193536665415","15.3360976465131","16.3771930273751","16.2880599984177","16.6783216788861","15.9842351537053","16.3887438602559","16.5429407527371","17.1510260216526","16.5522279810295","16.1708597077967","12.5340914034053","10.903801156518","11.3007743316992","12.048428471902","14.4479607434408","15.2557274741759","15.5956836810127","15.0465327440594","14.8374698435048","14.1155505228478","13.5940065452052","13.9046486304576","18.9719687913635","21.7087766527076","23.4025834742866","21.7585219747118","22.7670721257531","24.3142976579326","24.4889577388756","23.1655529491774","23.5038644870347","26.852796156672","25.3044858358862","25.8979454182273","25.5665232023404","28.2934869761041","29.2584260730665","29.4903837981674","",
"Angola","AGO","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4871300806511","27.5775740909858","22.6154835724704","24.4370429180687","22.8493546482441","17.2805558862873","21.1357136613316","16.0498827420693","13.508367118858","13.553648470679","13.2998188926253","16.2733257364948","20.4468711883162","31.5205041653311","45.6081681117929","34.7747524653276","34.9788715890949","31.5177312017641","33.3315474060548","35.6755532005176","40.9446599162018","39.1623080560863","32.1865210912766","30.6464405237236","33.6927339334333","40.0699484385323","25.8629609992467","21.7605794469408","25.2349631158642",
"Albania","ALB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7649557954901","48.4436391664471","46.2233706883918","59.9252695246949","62.2390091672556","66.0222149082269","65.4631703175784","69.8224660901217","66.8522792044418","65.4423141253721","68.2203666875648","71.4176324482325","76.3656780122259","78.4658756659569","75.4805325555486","76.1817094662639","79.0774778263132","82.2797364957128","84.2887701256967","85.106288419788","85.6508075295366","84.7921679249979","85.8049588483096","81.7033945876204","76.1147895793969","77.0228779313352","87.9833118295715","84.7662862316234","77.1857455957439","71.6581189971701",
"Andorra","AND","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","24.9644348803996","25.7075018660685","25.3216685419924","26.3938870287698","26.6145751677836","26.7126629027835","27.6648825158693","29.273850696077","30.1961365967312","30.6238535284449","29.8365447460371","28.8954605215496","31.3712310445229","30.6483547957204","21.2050401275215","25.8973261974208","27.1125519701979","29.8270956649297","34.5026242422244","30.9101060316685","28.3309517762727","31.750348128232","38.491667243304","45.1654262999903","49.4374367521853","54.3900121510304","60.9924044990413","61.7245344322972","63.2146296786443","58.4965622209005","50.6148102442281","51.0900977901956","53.2752148062314","54.8901749816133","54.8269298685083","53.6909125883908","51.8587982439782","52.5221254733883","57.8008072148349","57.0750840222324","53.7061197412462","60.029120146707","63.0372651122431","61.9772443198496","58.3878933104951","54.9567668940479","55.3562142400451","59.7973185540121","57.0399348858778","71.7015878084856","66.0683447403945","61.0388371032095","59.9773999245662","64.6350409084021","69.1806222042594","79.9036908730001","85.0792520540015","82.1317112469605","","","","","","",
"United Arab Emirates","ARE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","13.3454008054622","13.0838251384067","15.1256152144462","22.0584324103698","16.0065717640757","19.0955117827924","15.2940485282886","14.5551169898168","16.0646703809434","19.6587244087127","23.1284087799352","30.5385171719541","33.4682937956204","41.7923551646376","41.1322986621147","43.6713775081101","41.5115163778265","31.1661517797179","35.1094859655056","34.9105026316847","33.5039177277179","33.9067287066681","33.7114918477698","32.1912026066351","32.7571194604344","35.5448088257519","35.501376859728","33.1356885424306","40.8091994981709","42.4319365236796","43.1601490818154","44.9240631072879","48.0353567361898","48.1623050962153","58.6521072174004","58.1507270928829","78.1994209488793","70.1952019521165","61.363916994341","60.1534597066408","70.9553810235672","74.0022718295063","87.2764379134796","90.3667774468121","88.9808295892354","83.4278792396838","92.0588982126911","115.206585783272","102.510643139374","92.2732306185337","107.1362133973",
"Argentina","ARG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","21.1392510247476","16.6059988579773","14.3101166943145","16.0176179468354","15.967859713929","15.1288752365402","15.9503697860632","18.4266744554408","20.4152214276336","20.8780873604572","22.9961680392878","18.0216983735412","22.6729620530187","23.2609282241113","26.0763792583239","22.1623210978758","19.0543200466971","22.4723059735342","24.5409673809534","25.867690551581","24.9557344126068","23.4115575468308","21.2428783892003","21.0259384418668","21.9747762099833","17.3033628652215","19.5847407377731","22.0526189016942","25.1476054816229","20.1046563194961","11.4810946772859","10.5567775609245","13.6914371927742","19.2186233404674","20.7702889993785","20.1412713745498","22.6904801492561","26.4701846280975","28.650684859336","31.44367758524","31.8486210586349","27.1392515912455","27.9270695501951","30.1040572265399","28.3256464652642","28.6633102803828","28.0496119297007","27.8643164271472","23.4936731580619","25.3227384656624","25.4406025952303","24.3871239938128","27.1756452732208","27.1962424074471","25.8217018451822","27.6908850429799","28.3723031009504","28.4952801666658","30.4107564833182","26.1830389518599","34.5052631692152","30.730954428888","32.2530706731084","36.0096126093202",
"Armenia","ARM","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.8720506818402","69.1137816170074","13.0974112608503","7.70715371562187","8.22291222713919","8.73356320859035","10.052218423345","11.0846117712931","14.7045108640783","13.4496484249285","15.5515985078589","14.3919593551431","14.9869807725944","16.2983915680899","18.2869798220067","21.9523992829099","19.8358366931835","25.9414625160401","26.3390937683362","29.8304506454222","31.5569524364008","33.9221954954342","34.6722961325568","36.79245528668","43.0229257525026","46.4154242411359","46.1206403041553","47.1544016835076","54.3851665436419","54.3868263075766","51.9319992167941","54.8281602944554",
"American Samoa","ASM","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
