"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Benin","BEN","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","66.3586227455657","61.5907653383934","71.9724924521972","67.8243264289052","66.3814866760168","62.1576165305142","48.8418978029569","47.4350333258444","48.229933403435","49.4012545143509","49.8153277931671","44.0350791240018","42.2889663588127","43.9716885743175","49.3515125037403","52.90464530324","54.2651861528413","58.4712571067593","62.6229444965865","65.7349630106144","70.9928848641656","71.991408407487","74.7739865850102","76.3840399002494","48.2117409622953","50.0876599904584","49.5739776961349","52.7321961203347","56.0639012819449","55.5017587792586","55.672490358046","56.6044820210065","59.5382363107704","65.9312990238265","69.0324476330575","74.1763252897587","79.3621693535137","82.4890845265735","83.5911006955995","79.8412372672661","84.9381480982705","79.6001494427789","75.6826223665384","76.2207218329346","","","","","","","",
"Bosnia and Herzegovina","BIH","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.775693641522","58.1416412794783","63.7210204398649","61.3821382051084","61.4299871667807","62.3704742656019","64.8375700680389","65.0662258600553","65.1950482907094","63.188940448013","62.0258426536475","61.5486554750387","59.8817709824797","59.7174900767724","61.8412518286359","55.9260822588094","51.3739051244929","51.9645360224599",
"Belarus","BLR","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.8374733572582","32.6740348314364","32.9485197193635","43.7194949954771","30.7497260817914","31.0288799446766","37.9237724424186","41.3051232778985","49.7829233454112","47.0412004350757","41.7311547529977","40.464602977518","39.519099632604","44.9383069235445","40.7240198819532","","",
"Belize","BLZ","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Domestic credit provided by financial sector (% of GDP)","FS.AST.DOMS.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
